name,address,rating,rating_count,types,query,lat,lng,price_level,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,website
Wheel Fun Rentals - White River State Park,"801 W Washington St, Indianapolis, IN 46204, United States",4.5,66,"park, point_of_interest, establishment",state park,39.7674416,-86.17023619999999,,12:00 - 8:45 PM,12:00 - 8:45 PM,12:00 - 8:45 PM,12:00 - 8:45 PM,12:00 - 8:45 PM,10:00 AM - 8:45 PM,10:00 AM - 8:45 PM,http://wheelfunrentals.com/in/indianapolis/white-river-state-park/
Indiana Government Center (Robert D. Orr Plaza),"100 N Senate Ave, Indianapolis, IN 46204, United States",4.5,2,"park, point_of_interest, establishment",state park,39.7687263,-86.1650131,,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,http://www.in.gov/
Indianapolis Zoo Skyline,"1200 W Washington St, Indianapolis, IN 46222, United States",5.0,2,"point_of_interest, establishment",zoo,39.7684055,-86.18070300000001,,Closed,10:00 AM - 3:00 PM,10:00 AM - 3:00 PM,10:00 AM - 3:00 PM,10:00 AM - 3:00 PM,10:00 AM - 3:00 PM,10:00 AM - 3:00 PM,http://www.indianapoliszoo.com/
Simon Skjodt International Orangutan Center,"Simon Skjodt International Orangutan Center, 1200 W Washington St, Indianapolis, IN 46222, United States",4.8,171,"tourist_attraction, point_of_interest, establishment",zoo,39.768005,-86.18063470000001,,,,,,,,,https://www.indianapoliszoo.com/exhibits/orangutan-center/
Deserts Dome,"1200 W Washington St, Indianapolis, IN 46222, United States",4.8,6,"point_of_interest, establishment",zoo,39.7682975,-86.1798862,,,,,,,,,https://www.indianapoliszoo.com/exhibits/deserts/
Indianapolis Zoo,"1200 W Washington St, Indianapolis, IN 46222, United States",4.5,16728,"zoo, aquarium, tourist_attraction, point_of_interest, establishment",zoo,39.76757459999999,-86.1796262,,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 7:00 PM,http://www.indianapoliszoo.com/
Indianapolis Zoo Admissions Building,"1200 W Washington St, Indianapolis, IN 46222, United States",4.3,54,"zoo, travel_agency, point_of_interest, establishment",zoo,39.7667748,-86.17701679999999,,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,Closed,http://www.indianapoliszoo.com/
IUPUI Softball Complex,"1101 W New York St, Indianapolis, IN 46202, United States",5.0,1,"stadium, point_of_interest, establishment",stadium,39.771195,-86.1796867,,,,,,,,,http://iupuijags.com/
Victory Field,"501 W Maryland St, Indianapolis, IN 46225, United States",4.8,4525,"stadium, point_of_interest, establishment",stadium,39.7647442,-86.16867429999999,,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,http://www.indyindians.com/
Lucas Oil Stadium,"500 S Capitol Ave, Indianapolis, IN 46225, United States",4.7,12357,"stadium, point_of_interest, establishment",stadium,39.76010069999999,-86.16388769999999,,,,,,,,,http://www.lucasoilstadium.com/
